Country,Year,Age Group,,No Schooling,Primary Total,Primary Completed,Secondary Total,Secondary Completed,Tertiary Total,Tertiary Completed,Avg. Years of Total Schooling,Avg. Years of Primary Schooling,Avg. Years of Secondary Schooling,Avg. Years of Tertiary Schooling,"Population
(1000s)",Region
Australia,1950,15,64,1.19,40.73,25.65,44.91,25.6,13.17,9,8.437,5.476,2.518,0.443,2727,Advanced Economies
,1955,15,64,1,36.1,21.61,48.62,29.2,14.28,9.55,8.738,5.505,2.757,0.477,2946,Advanced Economies
,1960,15,64,0.83,32.01,18.13,51.84,32.9,15.32,10.08,9.02,5.533,2.979,0.508,3235,Advanced Economies
,1965,15,64,0.69,26.96,15.13,55.16,37.12,17.13,10.66,9.41,5.6,3.254,0.556,3644,Advanced Economies
,1970,15,64,0.64,19.42,10.67,50.02,36.21,29.98,20.76,10.576,5.703,3.859,1.015,4090,Advanced Economies
,1975,15,64,0.67,10.62,5.73,61.58,46.43,27.13,17.18,11.1,5.813,4.401,0.886,4417,Advanced Economies
,1980,15,64,0.63,5.29,2.79,67.16,52.51,26.9,16.29,11.548,5.885,4.801,0.862,4830,Advanced Economies
,1985,15,64,0.91,7.09,4.21,65.24,53.51,26.75,16.39,11.558,5.857,4.839,0.862,5260,Advanced Economies
,1990,15,64,0.79,8.65,5.76,63.72,54.58,26.82,16.33,11.524,5.864,4.797,0.863,5732,Advanced Economies
,1995,15,64,1.03,9.65,6.76,60.45,53.87,28.87,16.75,11.533,5.852,4.769,0.912,5964,Advanced Economies
,2000,15,64,0.71,10.23,7.45,67.75,63,21.31,13.92,11.348,5.874,4.769,0.705,6323,Advanced Economies
,2005,15,64,0.56,9.4,7.08,64.56,61.04,25.47,16.64,11.631,5.897,4.892,0.842,6788,Advanced Economies
,2010,15,64,0.46,1.5,1.06,69.32,66.5,28.7,19.48,12.465,6.059,5.442,0.964,7181,Advanced Economies
,2015,15,64,0.55,4.31,3.22,60.64,45.52,34.5,22.46,12.373,6.136,5.098,1.139,7936,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Austria,1950,15,64,2.98,87.19,53.88,6.19,3.44,3.63,2.85,6.153,5.347,0.676,0.13,2109,Advanced Economies
,1955,15,64,2.55,87.31,55.37,6.53,3.59,3.61,2.77,5.88,5.059,0.693,0.128,2124,Advanced Economies
,1960,15,64,2.29,80.97,51.07,12.93,7.12,3.68,2.77,5.978,4.752,1.097,0.129,2159,Advanced Economies
,1965,15,64,3.17,59.25,40.17,33.76,21.29,3.83,2.81,7.286,4.645,2.508,0.133,2173,Advanced Economies
,1970,15,64,2.95,42.18,30.72,50.71,32.62,4.15,2.97,8.28,4.472,3.665,0.142,2189,Advanced Economies
,1975,15,64,1.03,39.03,29.25,55.56,36.87,4.38,3.11,8.436,4.238,4.047,0.15,2263,Advanced Economies
,1980,15,64,0.1,35.72,27.61,60.12,41.35,3.99,2.99,8.528,4.011,4.378,0.14,2357,Advanced Economies
,1985,15,64,0.7,32.36,25.38,61.39,44.11,5.54,3.64,8.678,3.832,4.663,0.184,2514,Advanced Economies
,1990,15,64,1.42,28.15,22.28,64.33,47.03,6.1,4.14,8.973,3.826,4.942,0.205,2619,Advanced Economies
,1995,15,64,1.96,22.41,18.14,64.51,47.87,11.12,6.87,9.581,3.836,5.385,0.36,2737,Advanced Economies
,2000,15,64,1.79,19.46,15.92,64.1,48.9,14.65,9.23,10.027,3.858,5.692,0.478,2778,Advanced Economies
,2005,15,64,1.74,16.56,13.74,64.49,50.44,17.2,11.65,10.424,3.874,5.973,0.577,2803,Advanced Economies
,2010,15,64,1.71,15.72,13.16,64.79,51.73,17.78,12.09,10.561,3.88,6.083,0.597,2838,Advanced Economies
,2015,15,64,1.51,14.53,12.4,55.54,43.39,28.41,18.8,11.071,3.897,6.23,0.944,2918,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Belgium,1950,15,64,2.94,63.14,50.63,29.17,8.44,4.76,4.01,7.037,5.448,1.414,0.175,2911,Advanced Economies
,1955,15,64,2.35,60.79,51.96,31.56,9.27,5.31,4.46,7.333,5.594,1.543,0.195,2928,Advanced Economies
,1960,15,64,1.78,56.44,47.03,34.99,10.61,6.82,5.7,7.64,5.613,1.777,0.25,2928,Advanced Economies
,1965,15,64,1.09,53.63,43.51,37.37,11.27,7.92,6.63,7.856,5.631,1.934,0.291,2990,Advanced Economies
,1970,15,64,1.22,48.41,40.04,40.7,14.26,9.64,8.02,8.255,5.674,2.227,0.353,3033,Advanced Economies
,1975,15,64,2.51,39.47,30.63,45.31,16.3,12.72,10.44,8.658,5.584,2.611,0.463,3135,Advanced Economies
,1980,15,64,3.72,31.08,24.38,49.6,19.8,15.6,12.49,9.156,5.576,3.018,0.562,3244,Advanced Economies
,1985,15,64,4.22,24.8,18.89,52.5,22.88,18.48,14.48,9.599,5.569,3.37,0.659,3331,Advanced Economies
,1990,15,64,4.22,18.72,14.19,55.51,26.58,21.56,16.54,10.129,5.611,3.756,0.762,3360,Advanced Economies
,1995,15,64,3.75,14.54,10.87,57.44,33.71,24.27,18.25,10.706,5.665,4.191,0.85,3377,Advanced Economies
,2000,15,64,3.03,10.29,7.41,61.78,33.96,24.9,18.46,10.965,5.732,4.366,0.867,3418,Advanced Economies
,2005,15,64,3.97,9.38,6.58,60.12,37.24,26.52,19.61,11.112,5.678,4.512,0.923,3461,Advanced Economies
,2010,15,64,3.65,8.62,5.87,59.08,37.73,28.64,21.07,11.265,5.698,4.573,0.994,3514,Advanced Economies
,2015,15,64,3.42,4.28,2.73,62.8,37.19,29.5,21.45,11.455,5.748,4.688,1.019,3688,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Canada,1950,15,64,1.71,51.8,26.1,37.18,14.4,9.28,5.76,7.53,5.125,2.104,0.301,4354,Advanced Economies
,1955,15,64,1.38,47.76,24.75,38.85,15.24,12.01,7.51,7.961,5.227,2.343,0.39,4787,Advanced Economies
,1960,15,64,1.02,42.5,22.91,41.42,16.2,15.06,9.3,8.47,5.351,2.632,0.487,5354,Advanced Economies
,1965,15,64,1.06,36.84,20.3,44.44,16.35,17.66,10.47,8.888,5.442,2.884,0.563,5824,Advanced Economies
,1970,15,64,0.59,29.18,15.49,47.84,18.14,22.4,12.84,9.582,5.554,3.323,0.705,6798,Advanced Economies
,1975,15,64,0.91,21.15,9.03,50.88,19.3,27.06,16.08,10.173,5.582,3.729,0.863,7617,Advanced Economies
