Country,Year,Age Group,,No Schooling,Primary Total,Primary Completed,Secondary Total,Secondary Completed,Tertiary Total,Tertiary Completed,Avg. Years of Total Schooling,Avg. Years of Primary Schooling,Avg. Years of Secondary Schooling,Avg. Years of Tertiary Schooling,"Population
(1000s)",Region
Australia,1950,15,64,1.18,42.47,27.15,45.14,23.76,11.22,6.41,8.212,5.47,2.39,0.352,5372,Advanced Economies
,1955,15,64,1,37.87,22.58,48.9,27.41,12.23,6.9,8.49,5.481,2.627,0.383,5763,Advanced Economies
,1960,15,64,0.84,33.42,18.67,52.52,31.42,13.22,7.4,8.785,5.507,2.865,0.412,6314,Advanced Economies
,1965,15,64,0.67,28.07,15.37,56.3,36.16,14.91,7.96,9.192,5.576,3.158,0.457,7129,Advanced Economies
,1970,15,64,0.64,19.45,10.44,59.62,41.42,20.3,12.19,10.109,5.692,3.767,0.65,7995,Advanced Economies
,1975,15,64,0.98,10.44,5.44,66.71,48.7,21.88,12.02,10.805,5.791,4.335,0.678,8683,Advanced Economies
,1980,15,64,0.71,5.17,2.61,69.25,52.93,24.8,13.27,11.403,5.876,4.766,0.761,9533,Advanced Economies
,1985,15,64,0.98,7.26,3.88,66.2,53.3,25.51,14.35,11.434,5.836,4.8,0.797,10385,Advanced Economies
,1990,15,64,0.9,8.99,5.29,63.36,53.51,26.75,15.59,11.443,5.835,4.761,0.847,11296,Advanced Economies
,1995,15,64,1.12,9.97,6.31,58.72,51.75,30.2,16.87,11.507,5.823,4.742,0.941,11941,Advanced Economies
,2000,15,64,0.77,10.42,6.92,65.41,60.45,23.4,14.73,11.368,5.849,4.757,0.763,12711,Advanced Economies
,2005,15,64,0.61,9.23,6.42,61.82,58.08,28.34,18.02,11.706,5.879,4.899,0.927,13641,Advanced Economies
,2010,15,64,0.49,2.38,1.53,65.45,62.62,31.67,20.55,12.48,6.043,5.393,1.045,14420,Advanced Economies
,2015,15,64,0.54,4.18,2.88,57.44,40.93,37.89,24.24,12.449,6.128,5.078,1.242,15856,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Austria,1950,15,64,2.4,91.14,57.15,4.45,2.2,2.01,1.25,5.889,5.397,0.427,0.065,4635,Advanced Economies
,1955,15,64,2.07,91,58.1,4.89,2.33,2.04,1.27,5.637,5.119,0.452,0.066,4617,Advanced Economies
,1960,15,64,1.85,85.96,55.23,9.96,4.73,2.17,1.33,5.674,4.843,0.762,0.07,4640,Advanced Economies
,1965,15,64,2.62,69.23,46.97,25.8,14.05,2.36,1.43,6.541,4.682,1.783,0.076,4614,Advanced Economies
,1970,15,64,2.49,55,39.05,39.83,22.16,2.66,1.61,7.256,4.478,2.693,0.085,4596,Advanced Economies
,1975,15,64,0.91,50.55,36.7,45.6,26.62,2.95,1.78,7.443,4.224,3.124,0.095,4691,Advanced Economies
,1980,15,64,0.1,45.8,34.3,51.31,31.39,2.76,1.77,7.596,3.976,3.529,0.091,4844,Advanced Economies
,1985,15,64,0.55,41.29,31.41,53.57,34.83,4.63,2.68,7.835,3.782,3.907,0.146,5115,Advanced Economies
,1990,15,64,1.14,35.84,27.61,57.51,38.6,5.51,3.53,8.256,3.79,4.285,0.181,5227,Advanced Economies
,1995,15,64,1.65,29.17,23.03,59.24,40.94,9.94,5.8,8.929,3.811,4.803,0.315,5417,Advanced Economies
,2000,15,64,1.65,25.22,20.17,59.81,42.91,13.32,8,9.434,3.833,5.174,0.426,5493,Advanced Economies
,2005,15,64,1.63,21.33,17.31,61.92,46.21,15.12,9.88,9.889,3.854,5.534,0.5,5551,Advanced Economies
,2010,15,64,1.61,19.28,15.82,62.75,47.56,16.36,10.77,10.13,3.866,5.721,0.543,5577,Advanced Economies
,2015,15,64,1.45,17.26,14.46,53.28,39.7,28.1,17.68,10.773,3.89,5.967,0.916,5818,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Belgium,1950,15,64,2.73,65.78,52.89,27.94,7.48,3.55,2.7,6.85,5.45,1.275,0.125,5879,Advanced Economies
,1955,15,64,2.25,63.21,55.06,30.51,8.25,4.04,3.12,7.169,5.621,1.405,0.143,5913,Advanced Economies
,1960,15,64,1.78,59.62,50.73,33.56,9.49,5.02,3.94,7.398,5.626,1.593,0.179,5905,Advanced Economies
,1965,15,64,1.15,56.73,45.23,36.11,10.24,6.02,4.86,7.555,5.586,1.751,0.218,6008,Advanced Economies
,1970,15,64,1.22,51.39,41.86,39.74,13.84,7.64,6.21,7.984,5.641,2.066,0.277,6086,Advanced Economies
,1975,15,64,2.47,42.22,32.25,44.62,15.76,10.68,8.64,8.391,5.553,2.452,0.386,6260,Advanced Economies
,1980,15,64,3.6,33.46,25.86,49.12,19.48,13.82,10.69,8.933,5.556,2.887,0.49,6467,Advanced Economies
,1985,15,64,4.21,26.61,20,52.08,22.7,17.09,12.69,9.414,5.549,3.269,0.596,6642,Advanced Economies
,1990,15,64,4.23,20.05,15.04,54.92,26.38,20.81,14.88,9.997,5.596,3.687,0.714,6674,Advanced Economies
,1995,15,64,3.84,15.22,11.25,56.54,33.44,24.4,16.83,10.639,5.651,4.164,0.825,6704,Advanced Economies
,2000,15,64,3.18,10.58,7.55,60.28,33.42,25.97,17.36,10.954,5.718,4.369,0.866,6765,Advanced Economies
,2005,15,64,4.21,9.71,6.74,58.12,36.47,27.95,18.8,11.108,5.658,4.515,0.935,6838,Advanced Economies
,2010,15,64,3.94,8.73,5.87,56.72,36.58,30.61,20.67,11.289,5.678,4.586,1.026,6937,Advanced Economies
,2015,15,64,3,4.63,2.97,59.72,35.9,32.7,22.02,11.623,5.773,4.755,1.094,7322,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Canada,1950,15,64,1.59,48.21,24.8,41.29,16.98,8.89,4.79,7.756,5.201,2.281,0.274,8606,Advanced Economies
,1955,15,64,1.3,45.06,23.75,42.3,17.71,11.34,6.16,8.113,5.283,2.481,0.35,9466,Advanced Economies
,1960,15,64,0.98,40.6,22.07,44.38,18.7,14.04,7.58,8.552,5.385,2.735,0.432,10559,Advanced Economies
,1965,15,64,0.98,35.7,19.79,47.35,17.23,16,8.36,8.851,5.466,2.897,0.487,11600,Advanced Economies
,1970,15,64,0.63,28.08,15.05,51.05,18,20.24,10.5,9.473,5.572,3.286,0.615,13463,Advanced Economies
,1975,15,64,0.91,20.51,8.63,53.94,19.2,24.65,13.29,10.021,5.589,3.673,0.759,15127,Advanced Economies
,1980,15,64,1.01,15.4,6.55,55.8,20.47,27.78,15.46,10.494,5.674,3.955,0.865,16637,Advanced Economies
,1985,15,64,0.63,12.68,5.28,66.86,26.11,19.83,8.7,10.29,5.74,3.979,0.571,17689,Advanced Economies
,1990,15,64,0.54,9.45,3.85,67.44,28.86,22.56,10.75,10.709,5.8,4.243,0.666,18847,Advanced Economies
,1995,15,64,0.58,7.44,3.01,65.56,31.14,26.42,12.94,11.106,5.833,4.486,0.787,19820,Advanced Economies
,2000,15,64,0.51,5.32,2.15,65.75,32.17,28.41,15.31,11.391,5.874,4.643,0.874,20961,Advanced Economies
,2005,15,64,0.54,2.81,1.13,53.72,34.91,42.93,24.03,12.491,5.917,5.235,1.339,22350,Advanced Economies
,2010,15,64,0.5,2.15,0.97,51.02,34.93,46.34,26.08,12.742,5.935,5.359,1.448,23505,Advanced Economies
,2015,15,64,0.39,1.81,0.89,49.74,34.81,48.06,27.31,12.876,5.949,5.42,1.507,24483,Advanced Economies
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
